well,dt,std,variance,skewness,excess_kurtosis,msd,msd_exp,r2,n_samples
353-U1445A,1000,23.490647724498828,551.810530516502,-0.6649930398616494,-0.0814993605146146,551.4964664695376,0.5591898897417145,0.9041634978228782,1757
355-U1456C,1,2.299555552218778,5.2879557377402095,-0.09623956468832985,1.9961753363709445,5.286203598662098,,,3018
355-U1456C,3,5.169393890267293,26.72263319273282,-0.08338224127295135,2.0189455503872953,26.713772903212682,1.4746594009234217,1.0,3016
355-U1456C,8,8.152608376952083,66.46502334794927,0.13005669622386512,1.7783260945557693,66.44294927842157,1.22240015246351,0.9838018475295588,3011
355-U1456C,10,8.805942382503376,77.54462124396925,0.2885923585460587,1.9736171406885257,77.51885034957112,1.1612173162979664,0.9832214455464918,3009
355-U1456C,20,10.603652214410301,112.43744028416849,0.3988907580554436,1.8969945070565561,112.39994864019243,1.0321020019280103,0.9635695447608968,2999
355-U1456C,50,12.674117168804857,160.63324600859406,0.684097849452092,2.620796205522838,160.57914252391618,0.8668076606447082,0.9269026665195833,2969
355-U1456C,100,14.56302319048512,212.0816444466074,0.7175289187607639,1.5360851157352542,212.00898886440575,0.7615133668075434,0.9110769132960608,2919
355-U1456C,250,19.864246875715622,394.58830393937785,1.1202777260356496,1.571400053316503,394.44580184333614,0.7069997184752529,0.9229622303832566,2769
355-U1456C,500,27.13068551678436,736.0740966106526,0.9114147524090184,0.07925469599167467,735.7818877592788,0.6951632601779655,0.9427908479360034,2519
355-U1456C,1000,38.60938735087316,1490.6847916097647,0.30005118404566344,-1.5162875877392115,1489.9464633325929,0.7054628719535715,0.9581905556576047,2019
356-U1459C,1,0.8750388917012335,0.7656930619897231,0.05641713763053868,11.780003690987298,0.7653845635763509,,,2482
356-U1459C,3,1.7390835830700282,3.0244117089036875,0.11793063698648089,21.369178412351673,3.0231921880533235,1.2503866716219891,1.0,2480
356-U1459C,8,2.546143610618754,6.482847285894706,0.007788385592236165,7.195443392406776,6.480227953657979,1.031709183397615,0.9829271765805212,2475
356-U1459C,10,2.7597558358577574,7.616252273550949,0.14409028301627652,6.484336648236027,7.613172511208227,0.9881287484782334,0.9842881704478008,2473
356-U1459C,20,3.225035719102217,10.400855389485153,0.49722932821574767,5.552044247355628,10.396632549294539,0.880700541656617,0.9655538431715176,2463
