well,log_type,dt,p0_total,p0_zero,p0_cont,eps,n_samples
353-U1445A,GR,250,0.007977662544874352,0.0,0.007977662544874352,0.1244247758221923,2507
353-U1445A,GR,500,0.003544528134692069,0.0,0.003544528134692069,0.1244247758221923,2257
353-U1445A,GR,1000,0.0011383039271485487,0.0,0.0011383039271485487,0.1244247758221923,1757
355-U1456C,GR,1,0.08913187541418158,0.0006626905235255136,0.08846918489065607,0.11495872736184604,3018
355-U1456C,GR,3,0.045755968169761276,0.0,0.045755968169761276,0.11495872736184604,3016
355-U1456C,GR,8,0.02524078379275988,0.0,0.02524078379275988,0.11495872736184604,3011
355-U1456C,GR,10,0.023595879029577934,0.0,0.023595879029577934,0.11495872736184604,3009
355-U1456C,GR,20,0.01800600200066689,0.0,0.01800600200066689,0.11495872736184604,2999
355-U1456C,GR,50,0.01481980464802964,0.0,0.01481980464802964,0.11495872736184604,2969
355-U1456C,GR,100,0.011647824597464886,0.0,0.011647824597464886,0.11495872736184604,2919
355-U1456C,GR,250,0.0065005417118093175,0.0,0.0065005417118093175,0.11495872736184604,2769
355-U1456C,GR,500,0.003969829297340214,0.0,0.003969829297340214,0.11495872736184604,2519
355-U1456C,GR,1000,0.0014858841010401188,0.0,0.0014858841010401188,0.11495872736184604,2019
356-U1459C,GR,1,0.04915390813859791,0.0,0.04915390813859791,0.04374312984847881,2482
356-U1459C,GR,3,0.028629032258064516,0.0,0.028629032258064516,0.04374312984847881,2480
356-U1459C,GR,8,0.02383838383838384,0.0,0.02383838383838384,0.04374312984847881,2475
356-U1459C,GR,10,0.016579053780832995,0.0,0.016579053780832995,0.04374312984847881,2473
356-U1459C,GR,20,0.013398294762484775,0.0004060089321965083,0.012992285830288266,0.04374312984847881,2463
356-U1459C,GR,50,0.013152486642005754,0.0,0.013152486642005754,0.04374312984847881,2433
356-U1459C,GR,100,0.01258917331095258,0.0,0.01258917331095258,0.04374312984847881,2383
356-U1459C,GR,250,0.006269592476489028,0.0,0.006269592476489028,0.04374312984847881,2233
356-U1459C,GR,500,0.005547150781643974,0.0,0.005547150781643974,0.04374312984847881,1983
356-U1459C,GR,1000,0.007417397167902899,0.0,0.007417397167902899,0.04374312984847881,1483
356-U1461D,GR,1,0.05189620758483034,0.0,0.05189620758483034,0.05137254101487059,6513
356-U1461D,GR,3,0.025648901858393486,0.0,0.025648901858393486,0.05137254101487059,6511
356-U1461D,GR,8,0.016292652935751613,0.0,0.016292652935751613,0.05137254101487059,6506
356-U1461D,GR,10,0.01460639606396064,0.0,0.01460639606396064,0.05137254101487059,6504
356-U1461D,GR,20,0.015090853095164768,0.0,0.015090853095164768,0.05137254101487059,6494
356-U1461D,GR,50,0.011448019801980198,0.0,0.011448019801980198,0.05137254101487059,6464
