well,dt,cutoff_init,cutoff,cutoff_ci_95_l,cutoff_ci_95_r,alpha,alpha_ci_lower,alpha_ci_upper,gamma,gamma_std,k_gtlf,c_gtlf
349-U1433B,3,13.237095427286354,19.59365896059782,17.994176596467387,21.99288250679347,0.9051256281407034,0.8870351758793968,0.92321608040201,0.8994365565413541,0.049166090186269315,8.80263060296648,1.090135850056875
349-U1433B,8,27.890802738698174,38.756594638982676,35.38645597472331,41.2841986371772,0.7519597989949747,0.7288442211055275,0.7750753768844219,0.47162596235303944,0.0853481478191669,8.44795086092513,1.1172347596982766
349-U1433B,10,29.73416984424845,40.41988713202524,37.72522798989022,44.01276598820526,0.7520603015075376,0.7289447236180903,0.7751758793969847,0.4120228721202287,0.08605921764079572,9.536130742795706,1.1204394740445454
349-U1433B,20,35.64446764429404,49.53095816405026,46.30067828378611,51.684478084226356,0.7350753768844219,0.7149748743718591,0.7551758793969847,0.2413466870967771,0.09452311851883144,4.814105560713671,1.132393550251344
349-U1433B,50,38.283956551332956,49.18424973608748,46.233194751922234,54.10267470969623,0.7601005025125627,0.7410050251256279,0.7791959798994973,0.10785239206744181,0.09147150306197925,10.886054226255764,1.1257103307656626
349-U1433B,100,37.57844867341096,52.21838596909399,48.81283905806611,54.488750576445895,0.7740703517587938,0.7529648241206028,0.7951758793969848,0.06066666705211164,0.10733466100407438,12.532788689635892,1.1253058842406876
349-U1433B,250,39.427192257810965,47.613810650231436,46.60075084916268,49.63993025236894,0.8740703517587939,0.8449246231155778,0.90321608040201,0.0358627891727222,0.07710627262809676,10.56900199544252,1.1496514528990631
349-U1433B,500,40.46372486050837,50.94495359173729,48.865567730850046,53.02433945262452,0.8660301507537687,0.8388944723618089,0.8931658291457285,0.021285858656108048,0.10727029740854767,11.758985981478821,1.167454891805037
349-U1433B,1000,44.768613920258126,55.21462383498502,52.91401450852731,58.665537824671574,0.976180904522613,0.9389949748743718,1.0133668341708542,0.017727404784398545,0.08333420360129491,9.870337851473124,1.2164336713169768
353-U1445A,1,4.165082184325108,5.136934694000967,4.922895748417593,5.6720320579594015,1.1472361809045228,1.1211055276381912,1.1733668341708543,1.3735902801795135,0.033360544674436346,2.427334722298794,1.1017220891485076
353-U1445A,3,9.000622403776326,11.100767631324135,9.944437669727872,12.025831600601146,1.0561809045226132,1.033065326633166,1.0792964824120603,1.0097310745653219,0.04426441526837997,6.496622548198606,1.1195769116404704
353-U1445A,8,12.7156330301928,18.821785974899967,16.132959407057115,21.89473062386323,0.8720603015075375,0.8348743718592964,0.9092462311557787,0.48823348689358836,0.11307584833736718,10.479245551459822,1.1382051410776581
353-U1445A,10,14.669861958500181,20.384995679832546,17.726083199854386,23.0439081598107,1.0055276381909546,0.9512562814070351,1.0597989949748743,0.5288197051334637,0.07495735100500049,9.37871007750331,1.1353062370422697
353-U1445A,20,12.932048154914137,22.900501940993784,17.512148543112893,25.145649190110824,0.9812060301507537,0.9309547738693467,1.0314572864321607,0.2755355825906305,0.09868368100047581,11.30056226328614,1.1282459559815086
353-U1445A,50,26.86877196158109,16.121263176948656,16.121263176948656,16.121263176948656,1.3047236180904522,1.2494472361809046,1.36,0.20998475051533655,0.07276687669620728,10.253325704465349,1.2615000697700747
353-U1445A,100,37.42433394806173,49.041470944439226,47.118276005441615,50.00306841393804,0.9708542713567839,0.9326633165829146,1.0090452261306533,0.0642635376690952,0.05894858629209055,0.46574016102258714,1.0964594707399544
353-U1445A,250,30.142873673713595,40.06490292464432,36.422639022403935,43.707166826884716,1.0171859296482413,0.9749748743718594,1.0593969849246232,0.04980051698892024,0.09150736713638824,3.921135202700838,1.207710838961604
353-U1445A,500,,,,,,,,,,,
353-U1445A,1000,49.21684553215708,50.03712629102637,48.99468615996332,51.079566422089414,1.1984924623115578,1.1231155778894473,1.2738693467336684,0.02298027596254887,0.020834099091705856,4.261921867172545,1.2680240025700997
355-U1456C,1,4.010182372432081,5.255009817207874,4.739812776305141,5.9762856744717,0.7620100502512561,0.7529648241206028,0.7710552763819094,0.8676963899912689,0.06307148201944503,2.4247018256711623,1.1555767316210879
