well,dt,cutoff_init,cutoff,cutoff_ci_95_l,cutoff_ci_95_r,alpha,alpha_ci_lower,alpha_ci_upper,gamma,gamma_std,k_gtlf,c_gtlf,std,variance,skewness,excess_kurtosis,msd,msd_exp,r2,n_samples
355-U1456C,1,4.010182372432081,5.255009817207874,4.739812776305141,5.9762856744717,0.7620100502512561,0.7529648241206028,0.7710552763819094,0.8676963899912689,0.063071482019445,2.4247018256711623,1.155576731621088,2.299555552218778,5.2879557377402095,-0.0962395646883298,1.9961753363709445,5.286203598662098,,,3018
355-U1456C,3,8.763803183023876,12.178034839743596,10.85433540064103,13.766474166666672,0.6550753768844217,0.6410050251256278,0.6691457286432158,0.5286041681849802,0.0984935055052994,5.539799504355162,1.1748727949650055,5.169393890267293,26.72263319273282,-0.0833822412729513,2.0189455503872957,26.71377290321268,1.4746594009234215,1.0,3016
355-U1456C,8,12.88803968781136,18.29833134842384,16.741026552813295,20.634288541839645,0.6380904522613062,0.623015075376884,0.6531658291457283,0.2808738108118468,0.1170212948114809,9.258619225927974,1.1731014998087328,8.152608376952083,66.46502334794927,0.1300566962238651,1.7783260945557693,66.44294927842157,1.22240015246351,0.9838018475295588,3011
355-U1456C,10,13.547094516450644,18.824816755151208,17.187876167746754,21.280227636257887,0.6750753768844218,0.6589949748743715,0.691155778894472,0.2514960808381615,0.1053027644045518,10.634896345319776,1.161207774037481,8.805942382503376,77.54462124396925,0.2885923585460587,1.9736171406885257,77.51885034957112,1.1612173162979664,0.9832214455464918,3009
355-U1456C,20,15.525350350116708,27.41194671192481,24.366174855044274,31.066872940181447,0.6580904522613062,0.6410050251256278,0.6751758793969845,0.1397942381989478,0.1233860634245229,9.990102931647732,1.1511464443279908,10.6036522144103,112.43744028416847,0.3988907580554436,1.896994507056556,112.39994864019243,1.0321020019280105,0.9635695447608968,2999
355-U1456C,50,18.003890771303467,29.3813495226133,26.255674041484223,31.88188990751656,0.6821105527638187,0.6670351758793966,0.6971859296482409,0.0634577608115606,0.1064529423700938,16.424359223796916,1.1354422796392325,12.674117168804855,160.63324600859406,0.684097849452092,2.620796205522838,160.57914252391618,0.8668076606447082,0.9269026665195832,2969
355-U1456C,100,23.63216430284344,46.36171121911995,37.08936897529596,51.92511656541434,0.7820100502512561,0.7609045226130652,0.8031155778894471,0.0462570091238045,0.0951217001243634,6.434949656528197,1.114400483652477,14.56302319048512,212.0816444466074,0.7175289187607639,1.5360851157352542,212.00898886440572,0.7615133668075434,0.9110769132960608,2919
355-U1456C,250,32.22388764897074,66.26036897819608,60.621188639626205,70.48975423212349,0.740904522613065,0.7248241206030148,0.7569849246231154,0.021139601952067,0.1241110187563249,6.119796400106018,1.1114121657148484,19.864246875715622,394.58830393937785,1.1202777260356496,1.571400053316503,394.44580184333614,0.7069997184752529,0.9229622303832566,2769
355-U1456C,500,65.88619186184995,39.531715117109975,39.531715117109975,39.531715117109975,1.337688442211055,1.2753768844221107,1.4,0.0930862024867305,0.0535843034067211,9.338962995037228,1.8695939678734697,27.13068551678436,736.0740966106526,0.9114147524090184,0.0792546959916746,735.7818877592788,0.6951632601779655,0.9427908479360034,2519
355-U1456C,1000,,,,,,,,,,,,38.60938735087316,1490.6847916097647,0.3000511840456634,-1.5162875877392117,1489.9464633325929,0.7054628719535715,0.9581905556576048,2019
356-U1459C,1,1.0855637389202255,1.6724466352739724,1.4428951363147997,1.901998134233145,1.1236180904522612,1.0592964824120603,1.1879396984924624,0.4029760910836747,0.0728518794992261,1.3957893763753513,1.0792671168384955,0.8750388917012335,0.7656930619897231,0.0564171376305386,11.780003690987298,0.7653845635763509,,,2482
